,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
206,"4192 CHILDERS ROAD, CHILDERS",-25.168562,152.222626,3.0,2.0,1,$250_pw,House,June 2008,3824,2008,6,CHILDERS,250
207,"6 QUEEN STREET, CHILDERS",-25.239212,152.27549,3.0,1.0,2,$250_pw,House,May 2008,3824,2008,5,CHILDERS,250
208,"717 CHILTERN VALLEY ROAD, CHILTERN VALLEY",-36.141879,146.546172,3.0,2.0,0,$300_pw,House,November 2008,3683,2008,11,VALLEY,300
240,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180,Rental_residential,April 2008,3683,2008,4,CHILTERN,180
241,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180_pw,Rental_residential,April 2008,3683,2008,4,CHILTERN,180
293,"12 PARK STREET, CHILTERN",-36.148489,146.609016,3.0,1.0,0,$185_pw,House,November 2008,3683,2008,11,CHILTERN,185
371,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$220_pw,House,November 2008,3683,2008,11,CHILTERN,220
372,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$250_pw,House,November 2008,3683,2008,11,CHILTERN,250
383,"6 PORCUPINE COURT, CHINTIN",-37.390923,144.860853,3.0,2.0,2,$395_Weekly,Rural,August 2008,3756,2008,8,CHINTIN,395
568,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3.0,1.0,1,$260,House,May 2008,3116,2008,5,PARK,260
608,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$410_pw,House,January 2008,3116,2008,1,PARK,410
609,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$425,House,January 2008,3116,2008,1,PARK,425
744,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,May 2008,3777,2008,5,CREEK,320
745,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,April 2008,3777,2008,4,CREEK,320
746,"27 RODGERS ROAD, CHUM CREEK",-37.6044161,145.49396,2.0,1.0,0,$550,Rural,July 2008,3777,2008,7,CREEK,550
924,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$160,Rental_residential,February 2008,3842,2008,2,CHURCHILL,160
954,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$450_pw,Rental_residential,March 2008,3352,2008,3,CLARENDON,450
955,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$450,Rental_residential,March 2008,3352,2008,3,CLARENDON,450
1175,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2.0,1.0,1,$240_pw,House,March 2008,3169,2008,3,CLARINDA,240
1305,"0 EAST WING, BOLINDA VALE, CLARKEFIELD",-37.4394236,144.6643482,3.0,1.0,0,$200_per_week,Rural,November 2008,3430,2008,11,CLARKEFIELD,200
1649,"8/31-33 FIRST STREET, CLAYTON SOUTH",-37.933051,145.134866,2.0,1.0,1,$175,none,April 2008,3169,2008,4,SOUTH,175
2083,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$250,none,July 2008,3169,2008,7,SOUTH,250
2147,"10 EVERGREEN BOULEVARD, CLAYTON SOUTH",-37.93957,145.137404,3.0,2.0,2,$470,House,September 2008,3169,2008,9,SOUTH,470
2148,"10 EVERGREEN BOULEVARD, CLAYTON SOUTH",-37.93957,145.137404,3.0,2.0,2,$470,House,August 2008,3169,2008,8,SOUTH,470
2228,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,April 2008,3169,2008,4,SOUTH,250
3085,"1/6 ATLANTIC STREET, CLAYTON",-37.918015,145.128456,1.0,1.0,1,$370,House,February 2008,3168,2008,2,CLAYTON,370
3227,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$300,House,October 2008,3168,2008,10,CLAYTON,300
3228,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$300,House,September 2008,3168,2008,9,CLAYTON,300
3528,"2/14 ATLANTIC STREET, CLAYTON",-37.918107,145.129229,2.0,1.0,2,$260,Rental_residential,February 2008,3168,2008,2,CLAYTON,260
3781,"49 BEDDOE AVENUE, CLAYTON",-37.911368,145.127753,1.0,1.0,0,$115,Unit/apmt,March 2008,3168,2008,3,CLAYTON,115
3782,"49 BEDDOE AVENUE, CLAYTON",-37.911368,145.127753,1.0,1.0,0,$130,Unit/apmt,January 2008,3168,2008,1,CLAYTON,130
3795,"42 STOCKDALE AVENUE, CLAYTON",-37.910502,145.126035,4.0,2.0,1,$140_p.w.,House,September 2008,3168,2008,9,CLAYTON,140
3796,"42 STOCKDALE AVENUE, CLAYTON",-37.910502,145.126035,4.0,2.0,1,$140,House,September 2008,3168,2008,9,CLAYTON,140
3935,"2B HOURIGAN AVENUE, CLAYTON",-37.917265,145.121913,3.0,2.0,2,$400_Weekly,Townhouse,December 2008,3168,2008,12,CLAYTON,400
4266,"105 KANOOKA GROVE, CLAYTON",-37.926131,145.125044,3.0,1.0,1,$350_Weekly,House,November 2008,3168,2008,11,CLAYTON,350
4267,"105 KANOOKA GROVE, CLAYTON",-37.926131,145.125044,3.0,1.0,1,$350,House,November 2008,3168,2008,11,CLAYTON,350
4456,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$380_per_week,Townhouse,September 2008,3168,2008,9,CLAYTON,380
4457,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$400_per_week,Townhouse,September 2008,3168,2008,9,CLAYTON,400
4762,"4/2 THOMAS STREET, CLAYTON",-37.925586,145.121103,1.0,1.0,1,$180,Unit/apmt,June 2008,3168,2008,6,CLAYTON,180
4763,"4/2 THOMAS STREET, CLAYTON",-37.925586,145.121103,1.0,1.0,1,$180,Unit/apmt,May 2008,3168,2008,5,CLAYTON,180
4803,"1/48 ORMOND ROAD, CLAYTON",-37.920454,145.112666,3.0,2.0,1,$300,Unit/apmt,May 2008,3168,2008,5,CLAYTON,300
5100,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$240,House,July 2008,3782,2008,7,CLEMATIS,240
5101,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$240_per_week,House,April 2008,3782,2008,4,CLEMATIS,240
5102,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$240,House,April 2008,3782,2008,4,CLEMATIS,240
5167,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$270_per_week,House,June 2008,3782,2008,6,CLEMATIS,270
5168,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$270,House,May 2008,3782,2008,5,CLEMATIS,270
5180,"120 BELLBIRD ROAD, CLIFTON CREEK",-37.728296,147.691371,4.0,1.0,3,$265_Weekly,House,September 2008,3875,2008,9,CREEK,265
5271,"6/32 THE ESPLANADE, CLIFTON HILL",-37.787185,145.005992,2.0,1.0,1,$300,Rental_residential,July 2008,3068,2008,7,HILL,300
5305,"8/32 DWYER STREET, CLIFTON HILL",-37.787239,145.002994,1.0,1.0,1,$250_pw,none,August 2008,3068,2008,8,HILL,250
5315,"137 RAMSDEN STREET, CLIFTON HILL",-37.791122,145.000617,4.0,2.0,2,$350_pw,Rental_residential,August 2008,3068,2008,8,HILL,350
5417,"7/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1.0,1.0,1,$190_pw,Unit/apmt,January 2008,3068,2008,1,HILL,190
5418,"7/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1.0,1.0,1,$190,Unit/apmt,January 2008,3068,2008,1,HILL,190
5453,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$210_pw,Rental_residential,April 2008,3068,2008,4,HILL,210
5454,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$230,Rental_residential,March 2008,3068,2008,3,HILL,230
5471,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$420_pw,House,April 2008,3068,2008,4,HILL,420
5472,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$420,House,April 2008,3068,2008,4,HILL,420
5494,"2/34 GROOM STREET, CLIFTON HILL",-37.794845,144.997723,2.0,1.0,1,$550_pw,none,August 2008,3068,2008,8,HILL,550
5521,"128 NOONE STREET, CLIFTON HILL",-37.793818,144.996434,2.0,1.0,0,$355,none,January 2008,3068,2008,1,HILL,355
5721,"7/57 CAROLINE STREET, CLIFTON HILL",-37.789892,144.998232,2.0,1.0,1,$290_pw,Rental_residential,October 2008,3068,2008,10,HILL,290
5793,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2.0,2.0,0,$550_pw,none,March 2008,3068,2008,3,HILL,550
5825,"15 COUNCIL STREET, CLIFTON HILL",-37.792726,144.986822,3.0,2.0,2,$580_pw,House,February 2008,3068,2008,2,HILL,580
5826,"15 COUNCIL STREET, CLIFTON HILL",-37.792726,144.986822,3.0,2.0,2,$580,House,February 2008,3068,2008,2,HILL,580
5831,"9 O'GRADY STREET, CLIFTON HILL",-37.787643,144.997929,2.0,1.0,2,$450_pw,House,July 2008,3068,2008,7,HILL,450
5832,"9 O'GRADY STREET, CLIFTON HILL",-37.787643,144.997929,2.0,1.0,2,$450,House,July 2008,3068,2008,7,HILL,450
5874,"152 GOLD STREET, CLIFTON HILL",-37.792994,144.990414,2.0,1.0,1,$440_pw,Rental_residential,October 2008,3068,2008,10,HILL,440
5877,"403 WELLINGTON STREET, CLIFTON HILL",-37.792408,144.988295,2.0,1.0,1,$360_pw,none,July 2008,3068,2008,7,HILL,360
5942,"10 ANDERSON STREET, CLIFTON HILL",-37.792946,144.993254,2.0,1.0,1,$390,Available Now,May 2008,3068,2008,5,HILL,390
5961,"29 RAMSDEN STREET, CLIFTON HILL",-37.790559,144.996079,5.0,2.0,0,$600_pw,none,January 2008,3068,2008,1,HILL,600
5962,"29 RAMSDEN STREET, CLIFTON HILL",-37.790559,144.996079,5.0,2.0,0,$600,none,January 2008,3068,2008,1,HILL,600
5981,"17 GROOM STREET, CLIFTON HILL",-37.794443,144.998222,2.0,1.0,1,$430_per_week,none,November 2008,3068,2008,11,HILL,430
5982,"17 GROOM STREET, CLIFTON HILL",-37.794443,144.998222,2.0,1.0,1,$450_per_week,none,October 2008,3068,2008,10,HILL,450
6209,"18/57 CAROLINE STREET, CLIFTON HILL",-37.79021072,145.0009613,1.0,1.0,1,$210_pw,Rental_residential,September 2008,3068,2008,9,HILL,210
6234,"5/60 FENWICK STREET, CLIFTON HILL",-37.786721,144.999896,2.0,1.0,1,$300_pw,Rental_residential,October 2008,3068,2008,10,HILL,300
6467,"10 GOONDIWINDI AVENUE, CLIFTON SPRINGS",-38.158904,144.557156,4.0,2.0,2,$240,House,July 2008,3222,2008,7,SPRINGS,240
6475,"4 STEVEN STREET, CLONBINANE",-37.299715,145.067375,3.0,2.0,2,$265_p.w.,House,November 2008,3658,2008,11,CLONBINANE,265
6476,"4 STEVEN STREET, CLONBINANE",-37.299715,145.067375,3.0,2.0,2,$265,House,November 2008,3658,2008,11,CLONBINANE,265
7694,"28 VICTORIA COURT, COBUNGRA",-37.091318,147.444334,4.0,2.0,0,$350_per_week,House,October 2008,3898,2008,10,COBUNGRA,350
7695,"28 VICTORIA COURT, COBUNGRA",-37.091318,147.444334,4.0,2.0,0,$350,House,July 2008,3898,2008,7,COBUNGRA,350
8021,"3/41 ARTHUR STREET, COBURG NORTH",-37.723567,144.980436,2.0,1.0,1,$230_pw,Rental_residential,February 2008,3058,2008,2,NORTH,230
8022,"3/41 ARTHUR STREET, COBURG NORTH",-37.723567,144.980436,2.0,1.0,1,$230,Rental_residential,February 2008,3058,2008,2,NORTH,230
8154,"2 BELGRAVE STREET, COBURG",-37.742793,144.974864,3.0,1.0,1,$370_pw,none,October 2008,3058,2008,10,COBURG,370
8160,"138 SYDNEY ROAD, COBURG",-37.751617,144.965032,2.0,1.0,2,$242_pw,House,May 2008,3058,2008,5,COBURG,242
8281,"19 SAUNDERS STREET, COBURG",-37.752043,144.950572,3.0,1.0,1,$450_pw,House,July 2008,3058,2008,7,COBURG,450
8282,"19 SAUNDERS STREET, COBURG",-37.752043,144.950572,3.0,1.0,1,$450,House,July 2008,3058,2008,7,COBURG,450
8438,"177 URQUHART STREET, COBURG",-37.741016,144.975769,3.0,2.0,1,$450,House,July 2008,3058,2008,7,COBURG,450
8570,"10/95 HARDING STREET, COBURG",-37.745848,144.975359,2.0,1.0,1,$250_per_week,none,August 2008,3058,2008,8,COBURG,250
8590,"53 NICHOLSON STREET, COBURG",-37.753605,144.975761,2.0,1.0,1,$265_pw,none,March 2008,3058,2008,3,COBURG,265
8591,"53 NICHOLSON STREET, COBURG",-37.753605,144.975761,2.0,1.0,1,$265,none,March 2008,3058,2008,3,COBURG,265
8674,"3/5 INDUSTRY LANE, COBURG",-37.74493,144.96469,2.0,1.0,1,$350_pw,Rental_residential,October 2008,3058,2008,10,COBURG,350
8675,"3/5 INDUSTRY LANE, COBURG",-37.74493,144.96469,2.0,1.0,1,$350_pw,Rental_residential,September 2008,3058,2008,9,COBURG,350
8900,"8 PARKLANE MEWS, COBURG",-37.7406984,144.976022,3.0,2.0,1,$450,none,July 2008,3058,2008,7,COBURG,450
9044,"9A MILLER STREET, COBURG",-37.750111,144.969125,3.0,1.0,0,$330_Weekly,House,October 2008,3058,2008,10,COBURG,330
9045,"9A MILLER STREET, COBURG",-37.750111,144.969125,3.0,1.0,0,$330_Weekly,House,September 2008,3058,2008,9,COBURG,330
9082,"4/36 THE GROVE, COBURG",-37.751916,144.969914,2.0,1.0,1,$310_Weekly,Townhouse,June 2008,3058,2008,6,COBURG,310
9083,"4/36 THE GROVE, COBURG",-37.751916,144.969914,2.0,1.0,1,$310,Townhouse,June 2008,3058,2008,6,COBURG,310
9102,"24/4 WOIWURUNG CRESCENT, COBURG",-37.736462,144.974045,2.0,2.0,1,$350_pw,Unit/apmt,November 2008,3058,2008,11,COBURG,350
9274,"39 FISCHER STREET, COBURG",-37.733824,144.953878,3.0,1.0,1,$600_per_week,House,July 2008,3058,2008,7,COBURG,600
9275,"39 FISCHER STREET, COBURG",-37.733824,144.953878,3.0,1.0,1,$600,House,July 2008,3058,2008,7,COBURG,600
9276,"39 FISCHER STREET, COBURG",-37.733824,144.953878,3.0,1.0,1,$600_per_week,House,June 2008,3058,2008,6,COBURG,600
9384,"3 WOIWURUNG CRESCENT, COBURG",-37.735815,144.974882,3.0,2.0,1,$450_pw,Available Now,March 2008,3058,2008,3,COBURG,450
9428,"3/33 SHAFTSBURY STREET, COBURG",-37.751325,144.953636,3.0,1.0,1,$330_Weekly,none,August 2008,3058,2008,8,COBURG,330
9429,"3/33 SHAFTSBURY STREET, COBURG",-37.751325,144.953636,3.0,1.0,1,$330_Weekly,none,July 2008,3058,2008,7,COBURG,330
9444,"2/33 SHAFTSBURY STREET, COBURG",-37.751325,144.953636,3.0,1.0,1,$300_Weekly,none,June 2008,3058,2008,6,COBURG,300
9445,"2/33 SHAFTSBURY STREET, COBURG",-37.751325,144.953636,3.0,1.0,1,$300_Weekly,none,May 2008,3058,2008,5,COBURG,300
9448,"34 VINCENT STREET, COBURG",-37.741064,144.956685,2.0,1.0,1,$290_pw,House,February 2008,3058,2008,2,COBURG,290
9449,"34 VINCENT STREET, COBURG",-37.741064,144.956685,2.0,1.0,1,$290_pw,House,January 2008,3058,2008,1,COBURG,290
9450,"34 VINCENT STREET, COBURG",-37.741064,144.956685,2.0,1.0,1,$290,House,January 2008,3058,2008,1,COBURG,290
9671,"69A MORELAND ROAD, COBURG",-37.756399,144.97422,3.0,1.0,1,$330,none,May 2008,3058,2008,5,COBURG,330
9684,"116 SHAFTSBURY STREET, COBURG",-37.745402,144.95584,3.0,1.0,1,$330_-_$1430_pw,House,November 2008,3058,2008,11,COBURG,1430
9685,"116 SHAFTSBURY STREET, COBURG",-37.745402,144.95584,3.0,1.0,1,$320,House,September 2008,3058,2008,9,COBURG,320
9686,"116 SHAFTSBURY STREET, COBURG",-37.745402,144.95584,3.0,1.0,1,$320,House,August 2008,3058,2008,8,COBURG,320
9687,"116 SHAFTSBURY STREET, COBURG",-37.745402,144.95584,3.0,1.0,1,$320_pw,House,August 2008,3058,2008,8,COBURG,320
9734,"116 SHAFTSBURY ST, COBURG",-37.745402,144.95584,3.0,1.0,1,$300,House,September 2008,3058,2008,9,COBURG,300
9735,"116 SHAFTSBURY ST, COBURG",-37.745402,144.95584,3.0,1.0,1,$300_pw,House,August 2008,3058,2008,8,COBURG,300
9905,"158 SYDNEY ROAD, COBURG",-37.750943,144.965142,3.0,1.0,0,$500,none,July 2008,3058,2008,7,COBURG,500
9906,"158 SYDNEY ROAD, COBURG",-37.750943,144.965142,3.0,1.0,0,$2166,none,March 2008,3058,2008,3,COBURG,2166
10016,"78 SOUDAN STREET, COBURG",-37.738555,144.949719,2.0,1.0,3,$270_pw,House,May 2008,3058,2008,5,COBURG,270
10017,"78 SOUDAN STREET, COBURG",-37.738555,144.949719,2.0,1.0,3,$270,House,May 2008,3058,2008,5,COBURG,270
10023,"3/11 METHVEN STREET, COBURG",-37.746901,144.963811,2.0,1.0,1,$350_Weekly,none,October 2008,3058,2008,10,COBURG,350
10024,"3/11 METHVEN STREET, COBURG",-37.746901,144.963811,2.0,1.0,1,$350_Weekly,none,May 2008,3058,2008,5,COBURG,350
10025,"3/11 METHVEN STREET, COBURG",-37.746901,144.963811,2.0,1.0,1,$350,none,April 2008,3058,2008,4,COBURG,350
10026,"3/11 METHVEN STREET, COBURG",-37.746901,144.963811,2.0,1.0,1,$350_Weekly,none,April 2008,3058,2008,4,COBURG,350
10044,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$300_pw,Unit/apmt,September 2008,3058,2008,9,COBURG,300
10045,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$350_pw,Unit/apmt,August 2008,3058,2008,8,COBURG,350
10046,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$310_pw,Unit/apmt,July 2008,3058,2008,7,COBURG,310
10047,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$310,Unit/apmt,July 2008,3058,2008,7,COBURG,310
10048,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$320_pw,Unit/apmt,June 2008,3058,2008,6,COBURG,320
10049,"9/203 NICHOLSON STREET, COBURG",-37.742913,144.977807,2.0,1.0,2,$320,Unit/apmt,June 2008,3058,2008,6,COBURG,320
10209,"1/1 INDUSTRY LANE, COBURG",-37.7369442,144.9699153,1.0,1.0,1,$330_per_week,none,October 2008,3058,2008,10,COBURG,330
10257,"6/70 MUNRO STREET, COBURG",-37.744296,144.960126,1.0,1.0,0,$180_pw,Rental_residential,April 2008,3058,2008,4,COBURG,180
10258,"6/70 MUNRO STREET, COBURG",-37.744296,144.960126,1.0,1.0,0,$180,Rental_residential,April 2008,3058,2008,4,COBURG,180
10292,"2/27 GLADSTONE STREET, COBURG",-37.74468,144.976117,2.0,1.0,1,$260_pw,Rental_residential,September 2008,3058,2008,9,COBURG,260
10293,"2/27 GLADSTONE STREET, COBURG",-37.74468,144.976117,2.0,1.0,1,$260_pw,Rental_residential,August 2008,3058,2008,8,COBURG,260
10364,"3/170 GORDON STREET, COBURG",-37.742134,144.94979,2.0,1.0,1,$350,none,June 2008,3058,2008,6,COBURG,350
10378,"3/22 CHAMBERS STREET, COBURG",-37.747267,144.96884,2.0,1.0,1,$320_pw,none,November 2008,3058,2008,11,COBURG,320
10607,"1 HAVEN COURT, COCKATOO",-37.948073,145.496363,2.0,1.0,2,$260_per_week,House,August 2008,3781,2008,8,COCKATOO,260
10685,"22 GLEN ROAD, COCKATOO",-37.937274,145.486381,2.0,1.0,0,$245_per_week,House,June 2008,3781,2008,6,COCKATOO,245
10686,"22 GLEN ROAD, COCKATOO",-37.937274,145.486381,2.0,1.0,0,$245_per_week,House,May 2008,3781,2008,5,COCKATOO,245
10687,"22 GLEN ROAD, COCKATOO",-37.937274,145.486381,2.0,1.0,0,$245,House,May 2008,3781,2008,5,COCKATOO,245
10806,"80 RAINY HILL ROAD, COCKATOO",-37.91618,145.516997,3.0,1.0,0,$450_per_week,Rental_residential,July 2008,3781,2008,7,COCKATOO,450
10807,"80 RAINY HILL ROAD, COCKATOO",-37.91618,145.516997,3.0,1.0,0,$450,Rental_residential,June 2008,3781,2008,6,COCKATOO,450
140,"67 MURRAY STREET, COLAC EAST",-38.337093,143.598979,2.0,1.0,0,$190_pw,none,September 2008,3250,2008,9,EAST,190
597,"1 READ STREET, COLERAINE",-37.597815,141.696046,2.0,1.0,2,$135,House,June 2008,3315,2008,6,COLERAINE,135
637,"89 PILLEAU STREET, COLERAINE",-37.600684,141.689622,2.0,1.0,1,$130,House,June 2008,3315,2008,6,COLERAINE,130
705,"2 READ STREET, COLERAINE",-37.597912,141.696447,2.0,1.0,0,$120,House,June 2008,3315,2008,6,COLERAINE,120
804,"22/15-25 OXFORD STREET, COLLINGWOOD",-37.80752,144.983944,2.0,1.0,2,$420,Rental_residential,July 2008,3066,2008,7,COLLINGWOOD,420
837,"11/115 OXFORD STREET, COLLINGWOOD",-37.802615,144.984783,3.0,2.0,2,$980,none,February 2008,3066,2008,2,COLLINGWOOD,980
954,"5/15-17 BENDIGO STREET, COLLINGWOOD",-37.796087,144.992632,1.0,1.0,1,$180_pw,Rental_residential,March 2008,3066,2008,3,COLLINGWOOD,180
955,"5/15-17 BENDIGO STREET, COLLINGWOOD",-37.796087,144.992632,1.0,1.0,1,$180,Rental_residential,March 2008,3066,2008,3,COLLINGWOOD,180
966,"504/45 VICTORIA PARADE, COLLINGWOOD",-37.808835,144.984151,1.0,1.0,0,$195,none,June 2008,3066,2008,6,COLLINGWOOD,195
1014,"46 MATER STREET, COLLINGWOOD",-37.795431,144.987464,3.0,1.0,0,$390_pw,House,April 2008,3066,2008,4,COLLINGWOOD,390
1015,"46 MATER STREET, COLLINGWOOD",-37.795431,144.987464,3.0,1.0,0,$390,House,April 2008,3066,2008,4,COLLINGWOOD,390
1083,"7/30 MATER STREET, COLLINGWOOD",-37.795384,144.98684,2.0,2.0,1,$440_pw,none,April 2008,3066,2008,4,COLLINGWOOD,440
1084,"7/30 MATER STREET, COLLINGWOOD",-37.795384,144.98684,2.0,2.0,1,$440,none,April 2008,3066,2008,4,COLLINGWOOD,440
1124,"6/30 MATER STREET, COLLINGWOOD",-37.795384,144.98684,2.0,2.0,1,$450_pw,Available Now,April 2008,3066,2008,4,COLLINGWOOD,450
1125,"6/30 MATER STREET, COLLINGWOOD",-37.795384,144.98684,2.0,2.0,1,$450,Available Now,April 2008,3066,2008,4,COLLINGWOOD,450
1221,"606/45 VICTORIA PARADE, COLLINGWOOD",-37.808835,144.984151,1.0,1.0,0,$195,Unit/apmt,June 2008,3066,2008,6,COLLINGWOOD,195
1379,"24/18-22 STANLEY STREET, COLLINGWOOD",-37.801967,144.984817,2.0,1.0,1,$415,none,November 2008,3066,2008,11,COLLINGWOOD,415
1620,"2 BUDD STREET, COLLINGWOOD",-37.798899,144.986824,3.0,1.0,1,$450_-_$1950_pw,Unit,November 2008,3066,2008,11,COLLINGWOOD,1950
1689,"15/99 OXFORD STREET, COLLINGWOOD",-37.80752,144.983944,1.0,1.0,1,$340_pw,Unit,July 2008,3066,2008,7,COLLINGWOOD,340
1690,"15/99 OXFORD STREET, COLLINGWOOD",-37.80752,144.983944,1.0,1.0,1,$340,Unit,July 2008,3066,2008,7,COLLINGWOOD,340
1838,"5/343 WELLINGTON STREET, COLLINGWOOD",-37.79486,144.987879,2.0,2.0,1,$450_pw,none,April 2008,3066,2008,4,COLLINGWOOD,450
1839,"5/343 WELLINGTON STREET, COLLINGWOOD",-37.79486,144.987879,2.0,2.0,1,$450,none,April 2008,3066,2008,4,COLLINGWOOD,450
1954,"12/109 OXFORD STREET, COLLINGWOOD",-37.802889,144.984737,1.0,1.0,1,$390_pw,Unit/apmt,July 2008,3066,2008,7,COLLINGWOOD,390
1955,"12/109 OXFORD STREET, COLLINGWOOD",-37.802889,144.984737,1.0,1.0,1,$390,Unit/apmt,July 2008,3066,2008,7,COLLINGWOOD,390
1956,"12/109 OXFORD STREET, COLLINGWOOD",-37.802889,144.984737,1.0,1.0,1,$390_pw,Unit/apmt,June 2008,3066,2008,6,COLLINGWOOD,390
1957,"12/109 OXFORD STREET, COLLINGWOOD",-37.802889,144.984737,1.0,1.0,1,$390,Unit/apmt,June 2008,3066,2008,6,COLLINGWOOD,390
1964,"182 EASEY STREET, COLLINGWOOD",-37.79824,144.992589,2.0,1.0,0,$450_-_$1950_pw,none,November 2008,3066,2008,11,COLLINGWOOD,1950
2232,"191 LANDSBOROUGH ROAD, CONCONGELLA",-37.054246,142.825795,3.0,1.0,1,$145,House,July 2008,3381,2008,7,CONCONGELLA,145
