,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$365 per week,House,March 2020
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$365 per week,House,December 2018
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$365,House,December 2018
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$350 pw,House,July 2016
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$340 pw,House,November 2014
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$340 pw,House,March 2014
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$340 pw,House,January 2013
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$340 pw,House,December 2012
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$350 pw,House,December 2012
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$430 per week,House,July 2022
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$430 per week,House,July 2022
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$430,House,July 2022
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$450 Weekly,House,January 2020
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$450,House,January 2020
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$450 - $450,House,January 2020
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$450 pw,House,January 2020
0,"5 LUCERNE STREET, CAMPBELLFIELD",-37.6781769002,144.9643222002,4,1,2,$450 - $470 per week,House,November 2019
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$330 per week,Townhouse,July 2022
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$330 per week,Townhouse,July 2022
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$340 per week,Townhouse,May 2022
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$340,Townhouse,May 2022
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$340,Townhouse,June 2019
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$340 Weekly,Townhouse,June 2019
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$340 pw,Townhouse,June 2019
0,"2/162 SOMERSET ROAD, CAMPBELLFIELD",-37.6780290,144.9589690,2,1,1,$350,Townhouse,May 2019
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$300 pw,Unit/apmt,July 2022
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$300 pw,Unit/apmt,July 2022
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$300 pw,Unit/apmt,May 2022
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$300,Unit/apmt,May 2022
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$310 pw,Unit/apmt,October 2021
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$310 pw,Unit/apmt,September 2021
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$310,Unit/apmt,September 2021
0,"5/54 DUNSTAN PARADE, CAMPBELLFIELD",-37.6672120,144.9480740,2,1,1,$220 pw,Unit/apmt,August 2012
0,"28 RUSSELL STREET, CAMPBELLFIELD",-37.6681001,144.9522001,3,1,4,$390,House,July 2022
0,"28 RUSSELL STREET, CAMPBELLFIELD",-37.6681001,144.9522001,3,1,4,$390,House,July 2022
0,"52 ROEBOURNE CRESCENT, CAMPBELLFIELD",-37.6876355002,144.9635717002,3,1,1,$425 pw,Rental_residential,July 2022
0,"52 ROEBOURNE CRESCENT, CAMPBELLFIELD",-37.6876355002,144.9635717002,3,1,1,$425 pw,Rental_residential,July 2022
0,"52 ROEBOURNE CRESCENT, CAMPBELLFIELD",-37.6876355002,144.9635717002,3,1,1,$425,Rental_residential,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,none,$350 per week,House,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,none,$350 per week,House,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$350 per week,Rental_residential,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$350 per week,Rental_residential,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$350,Rental_residential,July 2022
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$400 pw,Rental_residential,August 2021
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$400,Rental_residential,August 2021
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$330 per week,Rental_residential,February 2011
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$330 Weekly,Rental_residential,January 2011
0,"14 CHURCH STREET, CAMPBELLFIELD",-37.6753730,144.9592350,3,1,2,$350 Weekly,Rental_residential,January 2011
0,"2A GENTLES AVENUE, CAMPBELLFIELD",-37.6720360,144.9548160,3,1,2,$380 per week,Rental_residential,July 2022
0,"2A GENTLES AVENUE, CAMPBELLFIELD",-37.6720360,144.9548160,3,1,2,$380 per week,Rental_residential,July 2022
0,"2A GENTLES AVENUE, CAMPBELLFIELD",-37.6720360,144.9548160,3,1,2,$380,Rental_residential,July 2022
0,"2A GENTLES AVENUE, CAMPBELLFIELD",-37.6720360,144.9548160,3,1,2,$330 pw,Rental_residential,February 2017
0,"2A GENTLES AVENUE, CAMPBELLFIELD",-37.6720360,144.9548160,3,1,2,$290 pw,Rental_residential,August 2013
0,"5 LUCERNE ST, CAMPBELLFIELD",-37.67838001,144.96465001,4,1,6,$430 per week,House,July 2022
0,"5 LUCERNE ST, CAMPBELLFIELD",-37.67838001,144.96465001,4,1,6,$430 per week,House,July 2022
0,"5 LUCERNE ST, CAMPBELLFIELD",-37.67838001,144.96465001,4,1,6,$450 Weekly,House,January 2020
0,"11 POPLAR STREET, CAMPBELLFIELD",-37.677378,144.964058,4,1,6,$430,Available Now,June 2022
0,"11 POPLAR STREET, CAMPBELLFIELD",-37.677378,144.964058,4,1,6,$430,Available Now,June 2022
0,"40 GENTLES AVENUE, CAMPBELLFIELD",-37.67199600,144.95147300,4,2,2,"$460 - $1,999 pw",House,June 2022
0,"40 GENTLES AVENUE, CAMPBELLFIELD",-37.67199600,144.95147300,4,2,2,"$460 - $1,999 pw",House,June 2022
0,"40 GENTLES AVENUE, CAMPBELLFIELD",-37.67199600,144.95147300,4,2,2,"$460 - $1,999 pw",House,May 2022
0,"40 GENTLES AVE, CAMPBELLFIELD",-37.67188001,144.95151001,4,2,2,"$460 - $1,999 pw",House,June 2022
0,"40 GENTLES AVE, CAMPBELLFIELD",-37.67188001,144.95151001,4,2,2,"$460 - $1,999 pw",House,June 2022
0,"40 GENTLES AVE, CAMPBELLFIELD",-37.67188001,144.95151001,4,2,2,"$460 - $1,999 pw",House,May 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$360 Weekly,none,June 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$360 Weekly,none,June 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$390 Weekly,none,May 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$390 Weekly,none,March 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$390,none,March 2022
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,$350 pw,none,August 2016
0,"3 WARATAH STREET, CAMPBELLFIELD",-37.6760690,144.9660360,3,1,1,Contact,none,March 2013
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$420 pw,House,June 2022
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$420 pw,House,June 2022
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$420,House,June 2022
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$380 Weekly,House,December 2019
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$380 - $400 per week,House,December 2019
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$380 pw,House,December 2019
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$310 per week,House,October 2014
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$300 per week,House,September 2013
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$300 per week,House,November 2012
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$300 per week,House,August 2012
0,"71 MASON STREET, CAMPBELLFIELD",-37.673597,144.966373,3,1,3,$300 per week,House,July 2012
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$420 per week,House,June 2022
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$420 per week,House,June 2022
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$420,House,June 2022
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$410 per week,House,March 2020
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$400,House,March 2020
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$410 per week,House,February 2020
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$410,House,February 2020
0,"7 SUFFOLK PLACE, CAMPBELLFIELD",-37.678696,144.969907,3,2,2,$410 per week,House,January 2020
0,"7 SUFFOLK PL, CAMPBELLFIELD",-37.6787001,144.96991001,3,2,2,$420 per week,House,June 2022
0,"7 SUFFOLK PL, CAMPBELLFIELD",-37.6787001,144.96991001,3,2,2,$420 per week,House,June 2022
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$330 per week,none,May 2022
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$330 per week,none,May 2022
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$330,none,May 2022
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$320 per week,none,April 2018
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$320,none,April 2018
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$320 per week,none,May 2017
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$290 per week,none,August 2012
0,"5 OBERON BOULEVARD, CAMPBELLFIELD",-37.6805280,144.9694500,3,1,1,$330 per week,none,June 2012
0,"2/27 GENTLES AVENUE, CAMPBELLFIELD",-37.67247001,144.95326001,3,1,2,$380 per week,none,May 2022
0,"2/27 GENTLES AVENUE, CAMPBELLFIELD",-37.67247001,144.95326001,3,1,2,$380 per week,none,May 2022
0,"2/27 GENTLES AVENUE, CAMPBELLFIELD",-37.67247001,144.95326001,3,1,2,$380,none,May 2022
0,"1 HULL DRIVE, CAMPBELLFIELD",-37.67722500,144.96875700,4,2,3,$550 per week,House,May 2022
0,"1 HULL DRIVE, CAMPBELLFIELD",-37.67722500,144.96875700,4,2,3,$550 per week,House,May 2022
0,"1 HULL DRIVE, CAMPBELLFIELD",-37.67722500,144.96875700,4,2,3,$550,House,May 2022
0,"1 HULL DRIVE, CAMPBELLFIELD",-37.67722500,144.96875700,4,2,3,$330 p.w.,House,June 2010
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,May 2022
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,May 2022
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,June 2020
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,May 2020
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$290 pw,House,January 2015
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$285 pw,House,May 2013
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,March 2013
0,"50 SAMUEL DRIVE, CAMPBELLFIELD",-37.6731820,144.9711960,3,1,4,$320 pw,House,February 2013
0,"180-186 BARRY RD, CAMPBELLFIELD",-37.6665001,144.96009001,none,none,none,per month,none,May 2022
0,"180-186 BARRY RD, CAMPBELLFIELD",-37.6665001,144.96009001,none,none,none,per month,none,May 2022
0,"180-186 BARRY RD, CAMPBELLFIELD",-37.6665001,144.96009001,none,none,none,per month,none,November 2021
0,"180-186 BARRY RD, CAMPBELLFIELD",-37.6665001,144.96009001,none,none,none,"$250,000 pa",none,November 2021
0,"16 GENTLES AVENUE, CAMPBELLFIELD",-37.6722053002,144.9521444002,3,2,2,$450 pw,House,May 2022
0,"16 GENTLES AVENUE, CAMPBELLFIELD",-37.6722053002,144.9521444002,3,2,2,$450 pw,House,May 2022
0,"16 GENTLES AVENUE, CAMPBELLFIELD",-37.6722053002,144.9521444002,3,2,2,$450 pw,House,December 2021
0,"16 GENTLES AVENUE, CAMPBELLFIELD",-37.6722053002,144.9521444002,3,2,2,$430,House,December 2021
0,"16 GENTLES AVENUE, CAMPBELLFIELD",-37.6722053002,144.9521444002,3,2,2,$450 pw,House,November 2021
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$270 per week,Rental_residential,May 2022
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$270 per week,Rental_residential,May 2022
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$270,Rental_residential,May 2022
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$280 per week,Rental_residential,May 2022
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$220 per week,Rental_residential,June 2012
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$250 per week,Rental_residential,May 2012
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$245 per week,Rental_residential,August 2010
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$219 pw,Rental_residential,June 2008
0,"1/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$219,Rental_residential,June 2008
0,"2/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$295 Weekly,Unit/apmt,May 2022
0,"2/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$295 Weekly,Unit/apmt,May 2022
0,"2/56 DUNSTAN PARADE, CAMPBELLFIELD",-37.6671020,144.9477990,2,1,1,$290 per week,Unit/apmt,May 2022
