,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
175601,"4/79 BELL STREET, COBURG",-37.741964,144.970699,3.0,1.0,1,$380,July 2021,3058,2021,7,COBURG,380,206011497,House
175610,"1/626 SYDNEY ROAD, COBURG",-37.735539,144.96646,2.0,1.0,1,$290,October 2021,3058,2021,10,COBURG,290,206011497,Apartment
175625,"13 COLLINS STREET, COBURG",-37.737022,144.954334,3.0,1.0,2,$530_per_week,March 2021,3058,2021,3,COBURG,530,206011498,House
175626,"801/146 BELL STREET, COBURG",-37.740837,144.9632357,2.0,1.0,1,$420,July 2021,3058,2021,7,COBURG,420,206011498,House
175641,"4/1 LAKE GROVE, COBURG",-37.7334644002,144.966627002,2.0,1.0,1,$420_per_week,November 2021,3058,2021,11,COBURG,420,210031236,Apartment
175643,"3/9 THE GROVE, COBURG",-37.7529368002,144.9793446002,1.0,1.0,1,$330,October 2021,3058,2021,10,COBURG,330,206011497,Apartment
175650,"1/47 SHACKELL STREET, COBURG",-37.7403415002,144.9522478002,3.0,2.0,1,$550,October 2021,3058,2021,10,COBURG,550,206011498,House
175651,"110/5 WARDENS WALK, COBURG, COBURG",-37.7390153,144.9686266,4.0,2.0,1,$640_-_$680_per_week,January 2021,3058,2021,1,COBURG,680,206011497,House
175652,"109A/41-43 STOCKADE AVENUE, COBURG",-37.7390664,144.9698398,1.0,1.0,1,$285_per_week,December 2021,3058,2021,12,COBURG,285,206011497,Apartment
175653,"69A MORELAND ROAD, COBURG",-37.756399,144.97422,3.0,1.0,1,$460,October 2021,3058,2021,10,COBURG,460,206011497,House
175654,"69A MORELAND ROAD, COBURG",-37.756399,144.97422,3.0,1.0,1,$390,October 2021,3058,2021,10,COBURG,390,206011497,House
175657,"4/156 BARROW STREET, COBURG",-37.742919,144.973082,2.0,1.0,1,$340_per_week,July 2021,3058,2021,7,COBURG,340,206011497,House
175677,"1/14 FLORENCE STREET, COBURG",-37.7516577,144.959873,3.0,2.0,1,$590_per_week,March 2021,3058,2021,3,COBURG,590,206011498,House
175678,"6/4 MCKAY STREET, COBURG",-37.74028001,144.96452001,2.0,1.0,1,$390_pw,March 2021,3058,2021,3,COBURG,390,206011497,House
175681,"332/12-20 NICHOLSON STREET, COBURG",-37.75544,144.975529,2.0,1.0,1,$395_pw,December 2021,3058,2021,12,COBURG,395,206011497,Apartment
175682,"332/12-20 NICHOLSON STREET, COBURG",-37.75544,144.975529,2.0,1.0,1,$395_pw,November 2021,3058,2021,11,COBURG,395,206011497,Apartment
175683,"508/14-20 NICHOLSON STREET, COBURG",-37.755441,144.975716,1.0,1.0,1,$350_p.w.,November 2021,3058,2021,11,COBURG,350,206011497,Apartment
175684,"41A RENNIE ST, COBURG",-37.75056001,144.96942001,2.0,1.0,1,$470_Weekly,May 2021,3058,2021,5,COBURG,470,206011497,House
175685,"41A RENNIE STREET, COBURG",-37.750558,144.969431,2.0,1.0,1,$470_p.w.,July 2021,3058,2021,7,COBURG,470,206011497,House
175686,"41A RENNIE STREET, COBURG",-37.750558,144.969431,2.0,1.0,1,$450_per_week,May 2021,3058,2021,5,COBURG,450,206011497,House
175687,"41A RENNIE STREET, COBURG",-37.750558,144.969431,2.0,1.0,1,$470_Weekly,May 2021,3058,2021,5,COBURG,470,206011497,House
175688,"105/39 GAFFNEY STREET, COBURG",-37.7340174,144.9636143,2.0,1.0,1,$365,May 2021,3058,2021,5,COBURG,365,206011497,House
175689,"105/39 GAFFNEY STREET, COBURG",-37.7340174,144.9636143,2.0,1.0,1,$435_per_week,May 2021,3058,2021,5,COBURG,435,206011497,House
175690,"105/39 GAFFNEY STREET, COBURG",-37.7340174,144.9636143,2.0,1.0,1,$435,April 2021,3058,2021,4,COBURG,435,206011497,Apartment
175691,"21/1 MANNA GUM COURT, COBURG",-37.737353,144.976093,3.0,2.0,2,$650,June 2021,3058,2021,6,COBURG,650,206011497,House
175693,"2/278 REYNARD STREET, COBURG",-37.746591,144.94691,3.0,1.0,3,$485_per_week,May 2021,3058,2021,5,COBURG,485,206011498,House
175694,"2/278 REYNARD STREET, COBURG",-37.746591,144.94691,3.0,1.0,3,$475_per_week,May 2021,3058,2021,5,COBURG,475,206011498,House
175695,"5/17-18 CHAMP STREET, COBURG",-37.735876,144.967325,1.0,1.0,1,$310_pw,November 2021,3058,2021,11,COBURG,310,206011497,Apartment
175696,"74 LINDA STREET, COBURG",-37.7504653,144.9566657,3.0,2.0,1,$670,July 2021,3058,2021,7,COBURG,670,206011498,House
175697,"1/179 GORDON STREET, COBURG",-37.7419981,144.9492972,2.0,1.0,2,$410_-_$1782_pw,March 2021,3058,2021,3,COBURG,1782,206011498,Apartment
175698,"2/24 MAYFIELD STREET, COBURG",-37.743172,144.961363,2.0,1.0,1,$340_per_week,June 2021,3058,2021,6,COBURG,340,206011498,House
175699,"2/24 MAYFIELD STREET, COBURG",-37.743172,144.961363,2.0,1.0,1,$340_per_week,May 2021,3058,2021,5,COBURG,340,206011498,House
175700,"5/71 BELL STREET, COBURG",-37.74215,144.971374,2.0,1.0,1,$380_per_week,November 2021,3058,2021,11,COBURG,380,206011497,Apartment
175701,"5/71 BELL STREET, COBURG",-37.74215,144.971374,2.0,1.0,1,$370,November 2021,3058,2021,11,COBURG,370,206011497,Apartment
175702,"5/71 BELL STREET, COBURG",-37.74215,144.971374,2.0,1.0,1,$370,October 2021,3058,2021,10,COBURG,370,206011497,Apartment
175703,"3/618 SYDNEY ROAD, COBURG",-37.735994,144.966585,3.0,1.0,1,$360_Weekly,October 2021,3058,2021,10,COBURG,360,206011497,House
175704,"3/618 SYDNEY ROAD, COBURG",-37.735994,144.966585,3.0,1.0,1,$370,October 2021,3058,2021,10,COBURG,370,206011497,House
175705,"2/115 HARDING STREET, COBURG",-37.746057,144.977021,2.0,1.0,1,$340_Weekly,October 2021,3058,2021,10,COBURG,340,206011497,Apartment
175706,"2/115 HARDING STREET, COBURG",-37.746057,144.977021,2.0,1.0,1,$320_Weekly,October 2021,3058,2021,10,COBURG,320,206011497,Apartment
175707,"4/9 SHEFFIELD STREET, COBURG",-37.746293,144.966699,1.0,1.0,1,$260_Weekly,November 2021,3058,2021,11,COBURG,260,206011497,Apartment
175708,"4/9 SHEFFIELD STREET, COBURG",-37.746293,144.966699,1.0,1.0,1,$260,October 2021,3058,2021,10,COBURG,260,206011497,Apartment
175711,"20 CASH STREET, COBURG",-37.748976,144.967068,3.0,1.0,2,$620_-_$650_per_week,March 2021,3058,2021,3,COBURG,650,206011497,House
175714,"1/22 CHAMBERS STREET, COBURG",-37.748545,144.968059,2.0,1.0,1,$350,March 2021,3058,2021,3,COBURG,350,206011497,House
175721,"27 FIRST AVENUE, COCKATOO",-37.938443,145.483393,3.0,1.0,1,$550_per_week,October 2021,3781,2021,10,COCKATOO,550,212011289,House
175723,"9 NEVILLE STREET, COCKATOO",-37.94259001,145.49082001,2.0,1.0,2,$390_per_week,September 2021,3781,2021,9,COCKATOO,390,212011289,Apartment
175724,"1A HAVEN COURT, COCKATOO",-37.948073,145.496363,3.0,2.0,2,$460_per_week,September 2021,3781,2021,9,COCKATOO,460,212011289,House
175725,"2 BELGRAVE AVENUE, COCKATOO",-37.92732,145.495818,4.0,2.0,6,$390_per_week,September 2021,3781,2021,9,COCKATOO,390,212011289,House
175726,"2 BELGRAVE AVENUE, COCKATOO",-37.92732,145.495818,4.0,2.0,6,$400,August 2021,3781,2021,8,COCKATOO,400,212011289,House
175727,"2 BELGRAVE AVENUE, COCKATOO",-37.92732,145.495818,4.0,2.0,6,$390,August 2021,3781,2021,8,COCKATOO,390,212011289,House
175733,"111 WOORI YALLOCK, COCKATOO",-37.9265058,145.4949975,3.0,2.0,2,$490_per_week,April 2021,3781,2021,4,COCKATOO,490,212011289,House
175734,"111 WOORI YALLOCK, COCKATOO",-37.9265058,145.4949975,3.0,2.0,2,$490,January 2021,3781,2021,1,COCKATOO,490,212011289,House
175742,"399 PRINCES HIGHWAY, COLAC WEST",-38.33503001,143.5469001,4.0,2.0,2,$470_per_week,November 2021,3250,2021,11,WEST,470,217031472,House
175757,"6 LAURISTON DRIVE, COLDSTREAM",-37.7301421002,145.3865156002,4.0,2.0,4,$500_per_week,December 2021,3770,2021,12,COLDSTREAM,500,211051278,House
175773,"131 MCKEBERY STREET, COLERAINE",-37.603729,141.684056,4.0,1.0,3,$280_per_week,September 2021,3315,2021,9,COLERAINE,280,217011423,House
175775,"802/60 STANLEY STREET, COLLINGWOOD",-37.801974,144.985936,2.0,1.0,1,$540_p.w.,July 2021,3066,2021,7,COLLINGWOOD,540,206071141,Apartment
175776,"802/60 STANLEY STREET, COLLINGWOOD",-37.801974,144.985936,2.0,1.0,1,$570_p.w.,July 2021,3066,2021,7,COLLINGWOOD,570,206071141,Apartment
175777,"301M / 60 STANLEY STREET, COLLINGWOOD",-37.8022001,144.98528001,1.0,1.0,1,$360,June 2021,3066,2021,6,COLLINGWOOD,360,206071141,Apartment
175778,"301M / 60 STANLEY STREET, COLLINGWOOD",-37.8022001,144.98528001,1.0,1.0,1,$370_per_week,March 2021,3066,2021,3,COLLINGWOOD,370,206071141,Apartment
175779,"201 / 88 CAMBRIDGE STREET, COLLINGWOOD",-37.8056001,144.98535001,2.0,2.0,1,$600,July 2021,3066,2021,7,COLLINGWOOD,600,206071141,House
175780,"201 / 88 CAMBRIDGE STREET, COLLINGWOOD",-37.8056001,144.98535001,2.0,2.0,1,$600_per_week,June 2021,3066,2021,6,COLLINGWOOD,600,206071141,House
175782,"2/19-23 BENDIGO STREET, COLLINGWOOD",-37.795915,144.992664,1.0,1.0,1,$365_-_$1586_pw,April 2021,3066,2021,4,COLLINGWOOD,1586,206071141,Apartment
175784,"42 BALLARAT STREET, COLLINGWOOD",-37.795156,144.990856,2.0,1.0,0,$680_pw,May 2021,3066,2021,5,COLLINGWOOD,680,206071141,Apartment
175785,"22/15-25 OXFORD STREET, COLLINGWOOD",-37.80752,144.983944,2.0,1.0,2,$575_pw,May 2021,3066,2021,5,COLLINGWOOD,575,206071141,House
175786,"206/75 WELLINGTON STREET, COLLINGWOOD",-37.8065954002,144.9860905002,1.0,1.0,1,$430_per_week,January 2021,3066,2021,1,COLLINGWOOD,430,206071141,Apartment
175787,"110M / 60 STANLEY STREET, COLLINGWOOD",-37.80188001,144.98601001,2.0,2.0,1,$550_per_week,January 2021,3066,2021,1,COLLINGWOOD,550,206071141,House
175789,"2/136 OXFORD STREET, COLLINGWOOD",-37.803526,144.985039,2.0,1.0,1,$775_pw,May 2021,3066,2021,5,COLLINGWOOD,775,206071141,Apartment
175790,"5/15-17 BENDIGO STREET, COLLINGWOOD",-37.796087,144.992632,1.0,1.0,1,$380,May 2021,3066,2021,5,COLLINGWOOD,380,206071141,Apartment
175791,"402/55 ISLINGTON STREET, COLLINGWOOD",-37.807417,144.990524,3.0,2.0,1,$950_per_week,December 2021,3066,2021,12,COLLINGWOOD,950,206071141,House
175792,"402/55 ISLINGTON STREET, COLLINGWOOD",-37.807417,144.990524,3.0,2.0,1,$1000_per_week,February 2021,3066,2021,2,COLLINGWOOD,1000,206071141,House
